poll_time,window_end_epoch,secs_left,side,best_ask_price,best_ask_size,best_bid_price,best_bid_size,n_asks,n_bids,is_target_scenario
1788633650.4367783,1788633900,249.6,Up,0.51,223.07,0.5,633.5,49,50,False
1788633650.4367783,1788633900,249.6,Down,0.5,633.5,0.49,223.07,50,49,False
1788633653.7498624,1788633900,246.3,Up,0.51,223.07,0.5,633.5,49,50,False
1788633653.7498624,1788633900,246.3,Down,0.5,633.5,0.49,223.07,50,49,False
1788633657.0807736,1788633900,242.9,Up,0.51,223.07,0.5,633.5,49,50,False
1788633657.0807736,1788633900,242.9,Down,0.5,633.5,0.49,223.07,50,49,False
1788633660.2253578,1788633900,239.8,Up,0.51,223.07,0.5,633.5,49,50,False
1788633660.2253578,1788633900,239.8,Down,0.5,633.5,0.49,223.07,50,49,False
1788633663.5823498,1788633900,236.4,Up,0.51,223.07,0.5,633.5,49,50,False
1788633663.5823498,1788633900,236.4,Down,0.5,633.5,0.49,223.07,50,49,False
1788633666.7337692,1788633900,233.3,Up,0.51,223.07,0.5,633.5,49,50,False
1788633666.7337692,1788633900,233.3,Down,0.5,633.5,0.49,223.07,50,49,False
1788633670.0859988,1788633900,229.9,Up,0.51,223.07,0.5,633.5,49,50,False
1788633670.0859988,1788633900,229.9,Down,0.5,633.5,0.49,223.07,50,49,False
1788633673.423393,1788633900,226.6,Up,0.51,223.07,0.5,633.5,49,50,False
1788633673.423393,1788633900,226.6,Down,0.5,633.5,0.49,223.07,50,49,False
1788633676.6770368,1788633900,223.3,Up,0.51,223.07,0.5,633.5,49,50,False
1788633676.6770368,1788633900,223.3,Down,0.5,633.5,0.49,223.07,50,49,False
1788633680.0144463,1788633900,220.0,Up,0.51,223.07,0.5,633.5,49,50,False
1788633680.0144463,1788633900,220.0,Down,0.5,633.5,0.49,223.07,50,49,False
1788633683.3466594,1788633900,216.7,Up,0.51,223.07,0.5,633.5,49,50,False
1788633683.3466594,1788633900,216.7,Down,0.5,633.5,0.49,223.07,50,49,False
1788633686.7049422,1788633900,213.3,Up,0.51,223.07,0.5,633.5,49,50,False
1788633686.7049422,1788633900,213.3,Down,0.5,633.5,0.49,223.07,50,49,False
1788633690.0147066,1788633900,210.0,Up,0.51,223.07,0.5,633.5,49,50,False
1788633690.0147066,1788633900,210.0,Down,0.5,633.5,0.49,223.07,50,49,False
1788633693.3184319,1788633900,206.7,Up,0.51,223.07,0.5,633.5,49,50,False
1788633693.3184319,1788633900,206.7,Down,0.5,633.5,0.49,223.07,50,49,False
1788633696.56669,1788633900,203.4,Up,0.51,223.07,0.5,633.5,49,50,False
1788633696.56669,1788633900,203.4,Down,0.5,633.5,0.49,223.07,50,49,False
1788633699.809883,1788633900,200.2,Up,0.51,223.07,0.5,633.5,49,50,False
1788633699.809883,1788633900,200.2,Down,0.5,633.5,0.49,223.07,50,49,False
1788633703.0415256,1788633900,197.0,Up,0.51,223.07,0.5,633.5,49,50,False
1788633703.0415256,1788633900,197.0,Down,0.5,633.5,0.49,223.07,50,49,False
1788633706.3211699,1788633900,193.7,Up,0.51,223.07,0.5,633.5,49,50,False
1788633706.3211699,1788633900,193.7,Down,0.5,633.5,0.49,223.07,50,49,False
1788633709.4749172,1788633900,190.5,Up,0.51,223.07,0.5,633.5,49,50,False
1788633709.4749172,1788633900,190.5,Down,0.5,633.5,0.49,223.07,50,49,False
